dest_airport_seq_ID,dest_city_name,most_common_origin_apt,most_common_origin_city,most_common_origin_state,PC1,PC2,PC3,PC4,PC5
1320402,"Orlando, FL",1039707,"Atlanta, GA",NY,-18.384729477117766,-0.14505289551539574,0.10065988787546491,-0.14450273001051006,-0.021797038151961143
1219702,"White Plains, NY",1402702,"West Palm Beach/Palm Beach, FL",FL,1.3543734446295326,-0.9604427449712101,-1.113915260729134,1.0222720225113666,0.08789386789271275
1018502,"Alexandria, LA",1039707,"Atlanta, GA",TX,2.50904208426473,1.6057413063110368,-0.11465292303932634,-1.088941276831703,0.1012563635335975
1302902,"Lincoln, NE",1348702,"Minneapolis, MN",MN,2.5503118305332944,4.308489996172043,2.4812263788110926,2.2670528731819806,-0.9901331632365318
1059904,"Birmingham, AL",1039707,"Atlanta, GA",TX,0.4932301505812773,0.11093529494009292,-0.6382582520360154,-0.8128924859702671,0.2294329074425573
1478302,"Springfield, MO",1129806,"Dallas/Fort Worth, TX",TX,1.8321970315867437,-0.926334769428261,-1.3813627927691963,-1.1638985827160797,0.6016147893345043
1498603,"Sarasota/Bradenton, FL",1039707,"Atlanta, GA",GA,1.7388380467022522,0.11544708358839523,-0.6096495684997072,-0.31725361316305467,0.25915527832253116
1161206,"Evansville, IN",1039707,"Atlanta, GA",GA,2.2945943823496617,0.7880225561531251,-0.0055374083291396085,1.2560621945488812,-0.147643023887478
1289208,"Los Angeles, CA",1477104,"San Francisco, CA",CA,-28.667989994442912,-0.28060106530828366,0.5076172979812799,0.25914997277280394,-0.09828997470388749
1483106,"San Jose, CA",1467903,"San Diego, CA",CA,-5.635943372553104,1.7624662694763207,0.4442827217630867,-1.0410073567184188,-0.025204589187325002
1474703,"Seattle, WA",1477104,"San Francisco, CA",CA,-15.097585665781436,1.2718366224633884,0.9466797050031093,0.586478429271184,-0.2751212764101985
1410702,"Phoenix, AZ",1129202,"Denver, CO",CA,-23.041724154537732,0.9490920225255587,0.7135515391523185,-0.7019837652615917,-0.08303777859197099
1330303,"Miami, FL",1039707,"Atlanta, GA",FL,-11.020535935958659,0.14601898924831896,-0.0037092793163865157,0.2782271332509251,-0.03870301889410128
1106606,"Columbus, OH",1393007,"Chicago, IL",IL,-3.523093418906818,-0.051076497916514293,-0.3964085283097182,0.12493760530437037,0.03940970322259469
1477104,"San Francisco, CA",1289208,"Los Angeles, CA",CA,-21.15542390239874,-2.3110747528577567,-0.6193004093663509,2.4102210560736204,-0.11128201037193682
1537002,"Tulsa, OK",1129806,"Dallas/Fort Worth, TX",TX,0.4933207025864412,1.1606406160761913,-0.142257445440672,-1.0331618818270394,0.06828117907084559
1484306,"San Juan, PR",1320402,"Orlando, FL",FL,-1.1340200485997942,-0.8193540207382278,-0.9026073735320108,0.17738395055018333,0.18522620718398078
1385103,"Oklahoma City, OK",1129806,"Dallas/Fort Worth, TX",TX,-0.3366495509936958,-0.2415006700504238,-0.8048693240359484,-0.2678567188569807,0.2386659598549762
1402702,"West Palm Beach/Palm Beach, FL",1039707,"Atlanta, GA",NY,-1.4460959443368127,-0.6338706131414493,-0.38862469603867356,2.0124352387521176,-0.207133035589658
1383002,"Kahului, HI",1217305,"Honolulu, HI",HI,-0.835092353098477,2.142701674283668,0.6407602971296825,0.06695896555491004,0.11415263473022655
1405702,"Portland, OR",1477104,"San Francisco, CA",CA,-5.454128568779108,1.2906113573169924,0.4246053331115964,-0.10803033827839933,-0.11680929167672921
1129202,"Denver, CO",1410702,"Phoenix, AZ",CA,-29.58267766687148,0.13559673699845226,0.6070689368847243,-0.4547855456646705,-0.07818536978512125
1379608,"Oakland, CA",1289208,"Los Angeles, CA",CA,-4.403487108684402,1.854721500009518,0.5578063263357523,-0.5597499406927924,-0.19323087668954442
1201205,"Gunnison, CO",1129806,"Dallas/Fort Worth, TX",TX,2.948774256288645,-3.4581902849357165,-2.4280365867578046,-0.1773631560676311,0.758123749863206
1463502,"Fort Myers, FL",1393007,"Chicago, IL",IL,-3.8919015317356145,0.5914074903503647,0.24715151708678273,1.4243828328673669,-0.2589433401002479
1288903,"Las Vegas, NV",1289208,"Los Angeles, CA",CA,-20.32713465661135,0.3815673839346087,0.3635168900491049,-0.7193626392787809,0.007791368913015653
1188402,"Spokane, WA",1474703,"Seattle, WA",CA,1.2643703437221785,1.2168002574543926,0.0955783232243881,-0.08680540413825899,-0.11655085687912382
1530402,"Tampa, FL",1039707,"Atlanta, GA",TX,-8.727060648047065,0.37658800107854534,-0.009655067666240073,-0.17437320499796213,0.0031364328097081896
1467903,"San Diego, CA",1477104,"San Francisco, CA",CA,-10.214552623899504,0.647860206910167,0.10626118176062224,-0.6917953133805177,0.08006907001663408
1169706,"Fort Lauderdale, FL",1039707,"Atlanta, GA",NY,-12.451507900373201,-0.7371136812746636,-0.34016938516642975,0.6441427110900296,7.450547443425469e-4
1490803,"Santa Ana, CA",1483106,"San Jose, CA",CA,-3.0435667358192573,1.4290521320004017,0.11364787109501918,-1.3067697960383877,0.15223136476599647
1389101,"Ontario, CA",1410702,"Phoenix, AZ",CA,0.04548517728603595,0.868029861321344,-0.2888529545538805,-1.1026579789534732,0.18182130580561867
1457002,"Reno, NV",1288903,"Las Vegas, NV",CA,0.223665343417486,1.299781154050549,0.023573074771460006,-0.6125079566725126,-0.029804205989129837
1537604,"Tucson, AZ",1410702,"Phoenix, AZ",CA,-0.17405610345129294,0.7584950064404458,-0.22738469935568156,-0.4773734223244613,0.08606066239546756
1489302,"Sacramento, CA",1467903,"San Diego, CA",CA,-4.031610788921402,1.5599385397959407,0.2543772889220453,-1.1470551100052513,-0.003474669641121524
1014005,"Albuquerque, NM",1410702,"Phoenix, AZ",TX,-0.0733042552698624,1.074823439004365,-0.21163972010253326,-1.2708313084912302,0.18496744209574154
1244102,"Jackson, WY",1486903,"Salt Lake City, UT",UT,2.1321854676634313,-0.891489574127395,-0.7801957338668338,1.7194111332011335,0.008060738331355994
1150305,"Eagle, CO",1129202,"Denver, CO",TX,2.077515524152519,-3.466727814228739,-2.381518652492951,1.8895948394957423,0.4292952451871442
1227805,"Wichita, KS",1129806,"Dallas/Fort Worth, TX",TX,1.541763006522331,0.058706104340601424,-0.6857995734847838,-0.6508239742442512,0.2920754357244074
1502403,"Charlotte Amalie, VI",1330303,"Miami, FL",FL,2.3661900787782715,-1.6277437722981294,-1.5572726767528884,-0.2999853212491086,0.4459491165734154
1071302,"Boise, ID",1474703,"Seattle, WA",CA,0.14298918323804388,1.5877604478412128,0.326973548980755,0.012066220228034923,-0.18962471106798273
