seq_ID,city_name,origin_state,DEST_STATE_ABR,n_flights_departed,flights_departed_per_day_reporting,mean_departure_delay_mins,median_departure_delay_mins,sd_departure_delay_mins,prop_dep_del10,prop_dep_del20,prop_dep_del30,prop_dep_early10,prop_dep_early20,prop_dep_early30,n_flights_received,flights_received_per_day_reporting,mean_arrival_delay_mins,median_arrival_delay_mins,sd_arrival_delay_mins,mean_net_delay_as_dest,median_net_delay_as_dest,sd_net_delay_as_dest,prop_dest_del10,prop_dest_del20,prop_dest_del30,prop_dest_early10,prop_dest_early20,prop_dest_early30,busiest_day_of_week_dep,mean_dep_on_busiest_dow,busiest_day_of_week_arr,mean_arr_on_busiest_dow,most_common_dest_apt,most_common_dest_city,most_common_origin_apt,most_common_origin_city,most_common_dest_state,most_common_origin_state
1114008,"Corpus Christi, TX",TX,TX,-0.316267634111464,-0.31666269038945544,-1.0665257229202434,-0.3940913823542399,-1.114972526389505,-0.98505284399008,-0.9302281989209945,-1.0686201206381287,0.42537011418330656,-0.37741361182399186,-0.14746625234205302,-0.3160043985065858,-0.31641349870213537,-0.8738876488194828,-0.34261913153468365,-0.8972903772975134,-0.4348057797839777,-0.2879522028336053,-1.005320165880723,-0.8896932454313319,-0.8223638870519759,-0.8605917503628436,0.3149605880301926,-0.24511497158270962,-0.5779225706715888,1,-0.3207176339586913,1,-0.3211584939308024,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1111105,"Columbia, MO",MO,MO,-0.38095089336253896,-0.38135506572053857,0.431065004104211,-0.15275400484173188,0.38688067582741886,-0.004661459642529268,0.3682900218545433,0.5434367389861594,-0.17224658497240658,-0.37741361182399186,-0.14746625234205302,-0.38043204559024557,-0.38085055446932126,1.3446776198647965,1.6313234690185172,-0.018472176619365063,1.3269470640528573,0.9621288784766507,-0.07654050878605548,1.8261610825879355,1.8157124997230938,1.9732078117401897,-1.6601660760055763,-1.3149628014608405,-0.5522719706316703,2,-0.38400635045469944,1,-0.38006479105763535,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1163703,"Fargo, ND",ND,ND,-0.31880423251346696,-0.3191996462847921,1.627335197030815,1.0539328827208083,1.5133227391372348,1.4682718983793617,1.3844050475781673,1.203884074026629,-0.7926226300239485,-0.331526255745918,-0.14746625234205302,-0.3180336157375672,-0.3184430122696058,0.16021312715380082,0.5346886909334057,0.13896042833520383,0.2763926349839751,0.21208022969049714,0.7338484891964827,0.9287851407928281,0.41551317110069785,0.07372183502160956,-0.38073453592219275,0.048274086214820974,-0.0017369347143345324,4,-0.3089429890292014,4,-0.30937723450543586,1348702,"Minneapolis, MN",1348702,"Minneapolis, MN",MN,MN
1325602,"Mission/McAllen/Edinburg, TX",TX,TX,-0.3246384088380737,-0.3250346448440662,-0.8010763098422672,-0.635428759866748,-0.8004292148612694,-0.6999438763268225,-0.45967928346922493,-0.5522245443180844,0.6016376430059994,-0.23975154358977008,-0.14746625234205302,-0.32437491958438414,-0.32478524216795085,-0.23327448161131947,0.09603477969936099,-0.565059093000729,0.31410541734668146,0.33708833782152275,-1.014548499403739,-0.48550594044941464,-0.45338750901392383,-0.22901671016043385,-0.5467788902417587,-0.9021708188477995,-0.6090691889847659,5,-0.32623699876938966,5,-0.32668095928644303,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1529502,"Toledo, OH",OH,OH,-0.38450213112534304,-0.38490680397400984,0.42748119080947694,-0.15275400484173188,1.3352622686516347,-0.1134931334539117,-0.058674763481464574,-0.19780989588851483,-0.2886971313431245,-0.008479268956277033,-0.14746625234205302,-0.38474413220608106,-0.3851632708001959,-0.40658219965926995,0.3153617353163833,-0.8838336741157302,0.29761178125032794,0.21208022969049714,-0.4738038783485093,0.0384028516658907,0.032906090468984066,-0.17599470507205367,-0.522630252641331,-0.4519341621890237,-0.6473300766619559,4,-0.3869500116870719,3,-0.38595542077031864,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1291503,"Lake Charles, LA",LA,LA,-0.38526311064594393,-0.38566789074261076,-1.0764348298184314,-0.8767661373792559,-0.7775457160508078,-1.2497259914273284,-1.2284325663848985,-1.3327703727766904,1.1073402570048851,-0.046035459547601375,-0.14746625234205302,-0.3852514365138264,-0.3856706491920635,-0.44331401693045597,-0.12329217591766133,-0.3299664769937897,0.6679018887290334,0.7121126622145996,-1.1724595725466453,-0.7273247731293006,-0.9756186813518564,-0.931002657767675,-0.12468384140554009,-0.99004304971706,-0.6473300766619559,1,-0.3869500116870719,1,-0.3874280781984895,1226603,"Houston, TX",1226603,"Houston, TX",TX,TX
1013603,"Abilene, TX",TX,TX,-0.3850094508057436,-0.3854141951530771,-0.4630878017598045,-0.15275400484173188,-0.3217254353013241,-0.6372573658336165,-0.35071066390733335,-0.6676829843228911,-0.13935952590872613,-0.37741361182399186,-0.14746625234205302,-0.38499778435995374,-0.3854169599961297,-0.24682239459577854,0.9733426021674502,-0.9569484418174319,1.3455316277384286,1.4621613110007532,-1.3672962049371404,-0.6642153535033234,-0.4754147452274354,-0.5585105989239412,-2.102641112783599,-1.3197026336185285,-0.6473300766619559,1,-0.3869500116870719,1,-0.3874280781984895,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1182304,"Fort Wayne, IN",IN,IN,-0.28075525648342287,-0.2811453078547431,0.5052162140308732,0.32992075018328415,0.21679133133448225,0.3197037943538068,0.47494376315564957,0.614954009679561,-0.608930369821088,-0.3440560763024988,-0.14746625234205302,-0.2807467491182838,-0.2811507004673368,0.9018230921102136,0.09603477969936099,1.1087065218789547,-0.11253765901983329,-0.2879522028336053,0.6751143924347646,0.8471080743744875,0.5849733253586714,0.7109188345881297,-0.08356411445173668,0.21960525791220087,-0.11863417421351358,4,-0.28245003793784923,4,-0.28286940079836104,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1127402,"Dubuque, IA",IA,IA,-0.4053022380217671,-0.40570984231576984,-0.08241032089892662,-0.3940913823542399,-0.1459231038696941,0.5090945389974357,0.4804684373047548,0.6578939399594548,0.4675230834097853,-0.37741361182399186,-0.14746625234205302,-0.4052899566697678,-0.4057120956708339,0.353508502845447,1.411996513401495,-0.6164339092278935,1.2567801573151929,0.9621288784766507,0.08577783226969941,1.8346615674897935,1.6459775424122896,0.5663133661652736,-0.7802157203792264,-0.8182283913351464,-0.6473300766619559,1,-0.4090274709298654,1,-0.4095179396210519,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1504803,"Sioux City, IA",IA,IA,-0.3987070821765595,-0.39911375698789475,-0.658260802063423,0.32992075018328415,-1.0573645700214447,-0.2518459495542111,-0.14853196361250096,-0.3047728753695111,-0.2886971313431245,-0.37741361182399186,-0.14746625234205302,-0.39869500066907826,-0.399116176576555,-0.8059817123179985,-0.6716095649602171,-0.8024441998182937,-0.01703604581856952,-0.41296031096463087,0.6575704465349156,-0.38927779495884834,-0.48896996751267324,-0.8652807712209998,0.8296934529826192,-0.23826252852045224,-0.34124297524443653,5,-0.39982852957870146,5,-0.4003138306949842,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
