seq_ID,city_name,origin_state,DEST_STATE_ABR,median_departure_delay_mins,sd_departure_delay_mins,prop_dep_early30,sd_arrival_delay_mins,median_net_delay_as_dest,sd_net_delay_as_dest,prop_dest_del30,busiest_day_of_week_dep,mean_dep_on_busiest_dow,busiest_day_of_week_arr,most_common_dest_apt,most_common_dest_city,most_common_origin_apt,most_common_origin_city,most_common_dest_state,most_common_origin_state
1142307,"Des Moines, IA",IA,IA,0.32992075018328415,0.40227091700039536,-0.14746625234205302,-0.24196422908796206,-0.037935986571554066,0.8677173219931834,0.25161265183485493,1,-0.0870645236391264,1,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1348502,"Madison, WI",WI,WI,0.08858337267077615,0.332987199381132,-0.14746625234205302,-0.2806055282165229,-0.2879522028336053,0.7277783817245982,0.25206099454389674,4,-0.16028809679439163,4,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1541205,"Knoxville, TN",TN,TN,-0.3940913823542399,-0.38656283071309566,-0.14746625234205302,0.08041546713588564,0.21208022969049714,0.007642414169477214,0.3384555233575444,1,-0.07418600574749683,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1105703,"Charlotte, NC",NC,NC,0.5712581276957922,-0.6829670053900665,-0.14746625234205302,-0.14676232392055766,-0.2879522028336053,0.2016193520906213,-0.7176316660552893,3,4.450957223717085,4,1039707,"Atlanta, GA",1039707,"Atlanta, GA",FL,FL
1153705,"Elmira/Corning, NY",NY,NY,-0.8767661373792559,-1.390350993257592,-0.14746625234205302,-1.2351390839522451,-1.7880495004059125,-0.4981208530351919,-1.9787428780769902,4,-0.4090274709298654,4,1476106,"Sanford, FL",1476106,"Sanford, FL",FL,FL
1379502,"Jacksonville/Camp Lejeune, NC",NC,NC,-0.15275400484173188,-0.9921469396774243,-0.14746625234205302,-0.8495844151544277,0.46209644595254834,-1.2062122457229096,-0.8118493297998904,3,-0.3634007218280922,3,1105703,"Charlotte, NC",1105703,"Charlotte, NC",NC,NC
1072102,"Boston, MA",MA,MA,0.32992075018328415,0.3138213367584646,-0.14746625234205302,1.04639673492341,-0.2879522028336053,1.4115868451714972,0.9215850067071517,1,2.5475122793342355,1,1295304,"New York, NY",1295304,"New York, NY",FL,FL
1082106,"Baltimore, MD",MD,MD,0.8125955052083003,-0.5525563729757014,-0.13642715491086405,-0.5224716517902804,-0.7879846353577077,-0.43696613531306816,-0.7384079583474612,3,1.5072959913446133,3,1039707,"Atlanta, GA",1039707,"Atlanta, GA",FL,FL
1294503,"Lexington, KY",KY,KY,-0.15275400484173188,0.4831026032794091,-0.14746625234205302,0.3185129638209621,0.21208022969049714,0.013161749219251938,0.6543716215630724,1,-0.21584970255542202,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1393102,"Norfolk, VA",VA,VA,0.08858337267077615,0.6074290208704626,-0.14746625234205302,0.37725877157541476,-0.2879522028336053,0.02372044747839168,0.34326501657664693,5,0.07483684414135953,5,1105703,"Charlotte, NC",1105703,"Charlotte, NC",NY,NY
1013505,"Allentown/Bethlehem/Easton, PA",PA,PA,0.32992075018328415,0.014409930000301737,-0.14746625234205302,-0.1775143055042565,-0.037935986571554066,-0.19863962086251652,-0.16224825930839926,4,-0.3398514319691124,1,1143302,"Detroit, MI",1143302,"Detroit, MI",MI,MI
1078105,"Baton Rouge, LA",LA,LA,-0.15275400484173188,0.7172553352133042,-0.14746625234205302,0.09056802526130694,-0.037935986571554066,-1.078492308403029,-0.15556097553633175,3,-0.27361905424073174,3,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1199502,"Greensboro/High Point, NC",NC,NC,-0.15275400484173188,-0.4561704678578767,-0.14746625234205302,-0.15506618220758725,-0.037935986571554066,-0.11029318950580219,0.2420273939174157,4,-0.10877402522787338,4,1105703,"Charlotte, NC",1105703,"Charlotte, NC",NC,NC
1501606,"St. Louis, MO",MO,MO,0.8125955052083003,-0.22532447444534318,-0.14746625234205302,-0.2539893323990378,-0.2879522028336053,-0.13285686197394758,-0.31802612412909154,1,0.9248190249889107,1,1295304,"New York, NY",1295304,"New York, NY",TX,TX
1220605,"Harlingen/San Benito, TX",TX,TX,-0.15275400484173188,-0.9110592208855995,-0.14746625234205302,-0.586057344191798,-0.2879522028336053,-0.3188301447666377,-0.6208622599599286,4,-0.3427950932014848,4,1219102,"Houston, TX",1219102,"Houston, TX",TX,TX
1244807,"Jackson/Vicksburg, MS",MS,MS,0.08858337267077615,-0.5635766907985191,-0.14746625234205302,-0.5820227813445543,0.21208022969049714,-0.842927215970967,-0.43465058813802054,5,-0.2600046210410091,5,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1226402,"Washington, DC",NA,VA,0.32992075018328415,0.19576301673571267,-0.13128251076056122,0.28400781234681327,0.21208022969049714,0.037519450593497344,-0.40601185904256776,4,0.9009017774758843,4,1039707,"Atlanta, GA",1039707,"Atlanta, GA",CA,CA
1200704,"Columbus, MS",MS,MS,-0.8767661373792559,-0.7535667904611257,-0.14746625234205302,-1.0185903134541454,-1.1630089597507844,-0.7696127160828915,-1.3967940417411069,1,-0.4090274709298654,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1086803,"Columbia, SC",SC,SC,0.08858337267077615,-0.6110640780695812,-0.14746625234205302,-0.41046780930795385,0.46209644595254834,-0.7651413238721665,-0.32878745231215156,1,-0.27104335066240587,3,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1114606,"Charleston/Dunbar, WV",WV,WV,0.5712581276957922,0.5998668559944998,-0.14746625234205302,-0.6871482605966183,0.7121126622145996,-1.1927568115480538,-0.11889408420764364,1,-0.3427950932014848,1,1039707,"Atlanta, GA",1039707,"Atlanta, GA",GA,GA
1052906,"Hartford, CT",CT,CT,0.08858337267077615,-0.28804528334625557,-0.14746625234205302,0.012530509103033757,-0.2879522028336053,-0.09804249467378724,-0.28966978925890163,1,0.16498646938276645,4,1127805,"Washington, DC",1127805,"Washington, DC",FL,FL
1591904,"Fayetteville, AR",AR,AR,-0.15275400484173188,-0.21363316565636495,-0.14746625234205302,-0.07287498067092986,0.21208022969049714,0.3231078969422217,-0.3018893181390454,4,-0.14998528248108794,4,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1120302,"Mosinee, WI",WI,WI,-0.15275400484173188,-0.575430380414117,-0.14746625234205302,-0.755713880611007,-0.2879522028336053,0.762942703064238,-0.9003292152624717,1,-0.3795908586061407,1,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
1226603,"Houston, TX",TX,TX,0.32992075018328415,-0.466649239279039,-0.14746625234205302,-0.19897128957593624,-0.037935986571554066,0.4413527484437138,-0.5950328263839662,5,3.160161773321756,5,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1319801,"Kansas City, MO",MO,MO,0.5712581276957922,-0.19522190065834505,-0.1283342078732391,-0.05508121581710332,-0.2879522028336053,0.05194862132951162,-0.34739141919495786,5,0.7298014683442344,5,1039707,"Atlanta, GA",1039707,"Atlanta, GA",TX,TX
1481402,"Shreveport, LA",LA,LA,0.08858337267077615,-0.5809037550341989,-0.14746625234205302,0.07390883581188752,0.46209644595254834,-0.4885150786053451,-0.11468801168861342,1,-0.29864017471589777,1,1129806,"Dallas/Fort Worth, TX",1129806,"Dallas/Fort Worth, TX",TX,TX
1393007,"Chicago, IL",IL,IL,0.8125955052083003,0.2872267921672922,-0.14746625234205302,1.3612635944521019,0.21208022969049714,1.7421537027882366,1.1605919860029021,4,6.1038230056942275,5,1295304,"New York, NY",1295304,"New York, NY",NY,NY
1302902,"Lincoln, NE",NE,NE,-0.15275400484173188,-0.052037689655750806,-0.14746625234205302,-0.8075106979812932,-2.0380657166679637,0.83702520012516,-1.0734891326656162,1,-0.3961489530382359,1,1348702,"Minneapolis, MN",1348702,"Minneapolis, MN",MN,MN
1198603,"Grand Rapids, MI",MI,MI,0.5712581276957922,0.2834795588915384,-0.14746625234205302,-0.10845772546813438,-0.037935986571554066,1.077943211428285,0.4956173593807663,4,-0.04254164749949278,4,1393007,"Chicago, IL",1393007,"Chicago, IL",IL,IL
